galaxy_x,V_flat_kms,M_total_Msun,Mgas_Msun,Mdisk_Msun,Mbul_Msun,bulge_to_total,disk_vs_gas_ratio,galaxy_key,galaxy_y,gamma_quad,rmse_quad,gamma_lin,rmse_lin,n_points
UGC00128_rotmod,50.52367302643055,27941799356.84308,15064810740.020945,12876988616.822147,0.0,0.0,0.8547726778016094,UGC00128_rotmod,UGC00128_rotmod,1.0,9.427435552881759e-11,1.0,20.451135719633502,22
ESO563-G021_rotmod,206.98084750866687,382562942571.5088,38160534891.66034,344402407679.8486,0.0,0.0,9.02509382160455,ESO563-G021_rotmod,ESO563-G021_rotmod,1.0,2.73331651259697e-11,1.0,31.342079536279478,30
NGC3741_rotmod,14.387178511936288,317519500.58581764,289624620.3825082,27894880.20330936,0.0,0.0,0.0963139120095125,NGC3741_rotmod,NGC3741_rotmod,1.0,3.698729487124639e-10,1.0,4.550834044599827,21
UGC09037_rotmod,125.10464882809974,97502555696.54674,28817116821.577847,68685438874.968895,0.0,0.0,2.3834944800424385,UGC09037_rotmod,UGC09037_rotmod,1.0,3.519669511585242e-11,1.0,39.992542801566614,22
UGC05829_rotmod,36.11150684795534,2580378158.444509,1922228224.425772,658149934.0187367,0.0,0.0,0.3423890699635035,UGC05829_rotmod,UGC05829_rotmod,1.0,2.8232775467695074e-10,1.0,10.55180182611803,11
D512-2_rotmod,20.254034515333537,417327826.8216482,58280275.4323407,359047551.3893076,0.0,0.0,6.160704436034051,D512-2_rotmod,D512-2_rotmod,1.0,2.560380334582602e-10,1.0,5.5053487667897425,4
UGC08286_rotmod,38.60455784002188,2700489823.684496,1292984516.1424792,1407505307.542017,0.0,0.0,1.08857089158438,UGC08286_rotmod,UGC08286_rotmod,1.0,1.4882366568276615e-10,1.0,12.825446287633255,17
UGC11455_rotmod,226.73368635553007,435066478533.2895,23492904052.533947,411573574480.7555,0.0,0.0,17.51905909803276,UGC11455_rotmod,UGC11455_rotmod,1.0,2.4505844903272598e-11,1.0,27.25448386052374,36
NGC0247_rotmod,62.47511919780446,12116155497.945189,3603765772.20072,8512389725.744468,0.0,0.0,2.3620818509928263,NGC0247_rotmod,NGC0247_rotmod,1.0,1.0450255627500902e-10,1.0,18.56697528591184,26
UGC04325_rotmod,54.447131258301305,3799083096.489228,1111960415.4093125,2687122681.0799155,0.0,0.0,2.416563255168383,UGC04325_rotmod,UGC04325_rotmod,1.0,1.2968411880884137e-10,1.0,15.918920356051295,8
UGC09992_rotmod,26.166308937547505,718303523.1775004,278566970.6152417,439736552.5622586,0.0,0.0,1.5785667324128865,UGC09992_rotmod,UGC09992_rotmod,1.0,1.9451643249426986e-10,1.0,9.645797375492744,5
NGC0801_rotmod,196.5594156189008,410358127950.4721,62229251744.746414,348128876205.72577,0.0,0.0,5.594296354931118,NGC0801_rotmod,NGC0801_rotmod,1.0,2.3198979511863945e-11,1.0,35.83780038320412,13
UGC07577_rotmod,14.596121680917925,88043787.47915974,32681513.416964263,55362274.06219549,0.0,0.0,1.6939935845644816,UGC07577_rotmod,UGC07577_rotmod,1.0,6.122745458221845e-10,1.0,4.407191801202824,9
F579-V1_rotmod,75.57101644097511,18091650098.72058,3847734142.148225,14243915956.572351,0.0,0.0,3.701897124477484,F579-V1_rotmod,F579-V1_rotmod,1.0,1.1603835510954853e-10,1.0,14.773684877618184,14
F561-1_rotmod,48.479316976563126,7412718984.675573,1922877193.1039305,5489841791.571644,0.0,0.0,2.8550142522153887,F561-1_rotmod,F561-1_rotmod,1.0,1.1999937717313143e-10,1.0,15.050234626102933,6
NGC1090_rotmod,122.59225145493602,98059795600.57307,19304687143.312035,78755108457.26102,0.0,0.0,4.079584811326256,NGC1090_rotmod,NGC1090_rotmod,1.0,4.11056538844647e-11,1.0,28.581398018517437,24
NGC5907_rotmod,148.05471556378242,232776196194.17163,45461835121.94701,187314361072.22464,0.0,0.0,4.120255167213815,NGC5907_rotmod,NGC5907_rotmod,1.0,2.8091349683807552e-11,1.0,40.54137794777465,19
ESO444-G084_rotmod,21.150181591882767,290659785.92687553,215548220.9370836,75111564.98979202,0.0,0.0,0.3484675710300404,ESO444-G084_rotmod,ESO444-G084_rotmod,1.0,3.028230245476372e-10,1.0,7.618233437551215,7
UGC06399_rotmod,48.64125482088737,4231988631.2201433,1220541291.0060475,3011447340.214096,0.0,0.0,2.4673047625712607,UGC06399_rotmod,UGC06399_rotmod,1.0,1.3517155458606562e-10,1.0,13.463594324183385,9
UGC06628_rotmod,50.3517821142764,5667687013.545022,1761711338.8536282,3905975674.6913934,0.0,0.0,2.217148512668977,UGC06628_rotmod,UGC06628_rotmod,1.0,1.1825718337171074e-10,1.0,14.207098099675944,7
NGC3949_rotmod,181.688138478521,43176266543.568665,3561923294.957237,39614343248.61143,0.0,0.0,11.121616039484934,NGC3949_rotmod,NGC3949_rotmod,1.0,2.8159081272035417e-11,1.0,28.386722165534902,7
UGC02916_rotmod,155.76067661247302,179815720261.60648,44074539916.81599,63938470131.60178,71802710213.18874,0.3993127525709428,1.4506894513765989,UGC02916_rotmod,UGC02916_rotmod,0.9999999999998906,1.2629221231053419e-11,0.6180735932380191,49.04298929092527,43
UGC02953_rotmod,144.04181980802232,277212167758.4389,13511694665.600948,233484816534.4378,30215656558.4001,0.1089983055315589,17.280202247972667,UGC02953_rotmod,UGC02953_rotmod,0.9999999999998844,1.6470153352693034e-11,0.4534296724371158,39.5959057853195,115
IC4202_rotmod,201.89247175843408,227154066975.972,21794213330.57811,167901453545.51257,37458400099.88136,0.1649030572005724,7.703946501704673,IC4202_rotmod,IC4202_rotmod,0.9999999999997641,1.1169788305905351e-11,0.29650046010947356,46.50759312009127,32
UGC11557_rotmod,92.83514461077236,18092566122.12101,2730746420.749364,15361819701.371649,0.0,0.0,5.625502091532945,UGC11557_rotmod,UGC11557_rotmod,1.0,9.117903707055845e-11,1.0,15.425785795772066,12
NGC0300_rotmod,43.47556969443745,4694059403.251523,1296662243.6327555,3397397159.6187696,0.0,0.0,2.620109574641853,NGC0300_rotmod,NGC0300_rotmod,1.0,1.079708156521417e-10,1.0,14.060385019342872,25
NGC2955_rotmod,238.6944113871336,377585259137.73694,49898902266.01871,256501246816.95944,71185110054.75868,0.1885272486995884,5.140418629843036,NGC2955_rotmod,NGC2955_rotmod,0.9999999999998748,9.137474602174026e-12,0.26806841266342657,49.632613257243996,24
NGC3972_rotmod,103.2418958501628,19146510850.67673,1833196922.586784,17313313928.089943,0.0,0.0,9.444328492358316,NGC3972_rotmod,NGC3972_rotmod,1.0,6.344790063927068e-11,1.0,17.894195037257287,10
ESO079-G014_rotmod,134.15988035004074,66169726422.2711,6354142229.668014,59815584192.603065,0.0,0.0,9.41363633840602,ESO079-G014_rotmod,ESO079-G014_rotmod,1.0,7.077051678729522e-11,1.0,18.842911661286355,15
NGC3893_rotmod,144.8378785900426,71812660906.9903,8774774145.768925,63037886761.22137,0.0,0.0,7.183989663325678,NGC3893_rotmod,NGC3893_rotmod,1.0,3.0490744439113383e-11,1.0,33.56993273546704,10
NGC0289_rotmod,90.29780030491985,119642551449.43475,46869856078.54615,72772695370.88861,0.0,0.0,1.552654551550864,NGC0289_rotmod,NGC0289_rotmod,1.0,4.1426798661018205e-11,1.0,34.24659172084167,28
UGC00731_rotmod,36.78549015511953,3659467978.118591,3241922445.252739,417545532.8658524,0.0,0.0,0.1287956574893637,UGC00731_rotmod,UGC00731_rotmod,1.0,2.8388226948430576e-10,1.0,9.178206282583009,12
