galaxy,file,gamma_quad,rmse_quad,gamma_lin,rmse_lin,n_points
NGC5985_rotmod,./profiles/NGC5985_rotmod_components_profile.csv,0.9999999999992323,1.4186470360859866e-11,0.09031160635757463,29.978607269544653,33
NGC6015_rotmod,./profiles/NGC6015_rotmod_components_profile.csv,1.0,5.103810611367743e-11,1.0,26.158568749454204,44
NGC6195_rotmod,./profiles/NGC6195_rotmod_components_profile.csv,0.9999999999998938,7.940105002747054e-12,0.3637663088662403,59.613777731153895,23
NGC6503_rotmod,./profiles/NGC6503_rotmod_components_profile.csv,1.0,6.824149500612269e-11,1.0,19.039728598885475,31
NGC6674_rotmod,./profiles/NGC6674_rotmod_components_profile.csv,1.0,3.0106123736109065e-11,0.06907158515034494,36.29355104707539,15
NGC6789_rotmod,./profiles/NGC6789_rotmod_components_profile.csv,1.0,3.6653908051839636e-10,1.0,6.852068459410132,4
NGC6946_rotmod,./profiles/NGC6946_rotmod_components_profile.csv,0.9999999999996859,2.6489848139779558e-11,0.18782217540532348,39.47181046246058,58
NGC7331_rotmod,./profiles/NGC7331_rotmod_components_profile.csv,1.0,1.9772172044469233e-11,-0.1531006918730095,35.615031829802966,36
NGC7793_rotmod,./profiles/NGC7793_rotmod_components_profile.csv,1.0,8.627940537401908e-11,1.0,15.801165174329542,46
NGC7814_rotmod,./profiles/NGC7814_rotmod_components_profile.csv,0.9999999999998702,1.7807737660245203e-11,0.6195113861857647,35.73896460909073,18
PGC51017_rotmod,./profiles/PGC51017_rotmod_components_profile.csv,1.0,2.70201673190375e-10,1.0,7.936239698449442,6
UGC00128_rotmod,./profiles/UGC00128_rotmod_components_profile.csv,1.0,9.427435552881759e-11,1.0,20.451135719633502,22
UGC00191_rotmod,./profiles/UGC00191_rotmod_components_profile.csv,1.0,1.4701829615112052e-10,1.0,11.833842415231361,9
UGC00634_rotmod,./profiles/UGC00634_rotmod_components_profile.csv,1.0,1.0164579229601976e-10,1.0,19.24692312730736,4
UGC00731_rotmod,./profiles/UGC00731_rotmod_components_profile.csv,1.0,2.8388226948430576e-10,1.0,9.178206282583009,12
UGC00891_rotmod,./profiles/UGC00891_rotmod_components_profile.csv,1.0,1.9273149197632596e-10,1.0,10.732044587461845,5
UGC01230_rotmod,./profiles/UGC01230_rotmod_components_profile.csv,1.0,1.1401048769185925e-10,1.0,18.296127464589585,11
UGC01281_rotmod,./profiles/UGC01281_rotmod_components_profile.csv,1.0,3.900429528481314e-10,1.0,8.289188550508506,25
UGC02023_rotmod,./profiles/UGC02023_rotmod_components_profile.csv,1.0,1.752310269450024e-10,1.0,10.5510563015074,5
UGC02259_rotmod,./profiles/UGC02259_rotmod_components_profile.csv,1.0,1.298336974330505e-10,1.0,14.154049784745782,8
UGC02455_rotmod,./profiles/UGC02455_rotmod_components_profile.csv,1.0,7.625381303641552e-11,1.0,16.04036841217451,8
UGC02487_rotmod,./profiles/UGC02487_rotmod_components_profile.csv,0.9999999999997694,1.3694518078421972e-11,0.18331365950779271,33.75345326178972,17
UGC02885_rotmod,./profiles/UGC02885_rotmod_components_profile.csv,0.999999999999852,1.8670061988388238e-11,0.2352491573671313,61.33362944253798,19
UGC02916_rotmod,./profiles/UGC02916_rotmod_components_profile.csv,0.9999999999998906,1.2629221231053419e-11,0.6180735932380191,49.04298929092527,43
UGC02953_rotmod,./profiles/UGC02953_rotmod_components_profile.csv,0.9999999999998844,1.6470153352693034e-11,0.4534296724371158,39.5959057853195,115
UGC03205_rotmod,./profiles/UGC03205_rotmod_components_profile.csv,0.9999999999996879,1.7001076046481712e-11,0.3427932108682728,37.43477163908756,48
UGC03546_rotmod,./profiles/UGC03546_rotmod_components_profile.csv,0.999999999999922,1.8835432311060477e-11,0.563890749384419,44.67621990982302,30
UGC03580_rotmod,./profiles/UGC03580_rotmod_components_profile.csv,0.999999999999239,3.708967409765434e-11,0.36785397912871637,22.578725903297165,47
UGC04278_rotmod,./profiles/UGC04278_rotmod_components_profile.csv,1.0,2.8304649005713093e-10,1.0,11.363627525459508,25
UGC04305_rotmod,./profiles/UGC04305_rotmod_components_profile.csv,1.0,2.3133508152235882e-10,1.0,12.133219392882703,22
UGC04325_rotmod,./profiles/UGC04325_rotmod_components_profile.csv,1.0,1.2968411880884137e-10,1.0,15.918920356051295,8
UGC04483_rotmod,./profiles/UGC04483_rotmod_components_profile.csv,1.0,5.571344576846541e-10,1.0,4.884624423224454,8
UGC04499_rotmod,./profiles/UGC04499_rotmod_components_profile.csv,1.0,1.2282360057100992e-10,1.0,15.517094327577308,9
UGC05005_rotmod,./profiles/UGC05005_rotmod_components_profile.csv,1.0,1.430185194021356e-10,1.0,15.268253344332978,11
UGC05253_rotmod,./profiles/UGC05253_rotmod_components_profile.csv,0.9999999999999112,1.2720192956675949e-11,0.5912533967020085,45.78960304607634,73
UGC05414_rotmod,./profiles/UGC05414_rotmod_components_profile.csv,1.0,1.6282871103204227e-10,1.0,12.628614440451997,6
UGC05716_rotmod,./profiles/UGC05716_rotmod_components_profile.csv,1.0,1.6698815948244737e-10,1.0,10.976022868951144,12
UGC05721_rotmod,./profiles/UGC05721_rotmod_components_profile.csv,1.0,1.4723267394386018e-10,1.0,12.169564991449526,23
UGC05750_rotmod,./profiles/UGC05750_rotmod_components_profile.csv,1.0,3.9676893101526014e-10,1.0,11.808507170223443,11
UGC05764_rotmod,./profiles/UGC05764_rotmod_components_profile.csv,1.0,3.7001721750816023e-10,1.0,7.1707870903425786,10
UGC05829_rotmod,./profiles/UGC05829_rotmod_components_profile.csv,1.0,2.8232775467695074e-10,1.0,10.55180182611803,11
UGC05918_rotmod,./profiles/UGC05918_rotmod_components_profile.csv,1.0,3.5518031979221764e-10,1.0,6.831008252737635,8
UGC05986_rotmod,./profiles/UGC05986_rotmod_components_profile.csv,1.0,8.74474934703101e-11,1.0,16.365010332917375,15
UGC05999_rotmod,./profiles/UGC05999_rotmod_components_profile.csv,1.0,1.0362725004737103e-10,1.0,18.896581077484097,5
UGC06399_rotmod,./profiles/UGC06399_rotmod_components_profile.csv,1.0,1.3517155458606562e-10,1.0,13.463594324183385,9
UGC06446_rotmod,./profiles/UGC06446_rotmod_components_profile.csv,1.0,1.437089717581084e-10,1.0,13.332207644678144,17
UGC06614_rotmod,./profiles/UGC06614_rotmod_components_profile.csv,0.9999999999997906,2.0154629171087475e-11,0.60132091191386,39.09191062957767,13
UGC06628_rotmod,./profiles/UGC06628_rotmod_components_profile.csv,1.0,1.1825718337171074e-10,1.0,14.207098099675944,7
UGC06667_rotmod,./profiles/UGC06667_rotmod_components_profile.csv,1.0,3.329634579886345e-10,1.0,10.39442784209623,9
UGC06786_rotmod,./profiles/UGC06786_rotmod_components_profile.csv,0.999999999999764,2.0132317137887285e-11,0.4385807906113166,40.77717832666622,45
UGC06787_rotmod,./profiles/UGC06787_rotmod_components_profile.csv,0.9999999999999029,1.808693532432866e-11,0.6619605520381509,48.39303496486491,71
UGC06818_rotmod,./profiles/UGC06818_rotmod_components_profile.csv,1.0,1.2964855171741427e-10,1.0,10.648879569953417,8
UGC06917_rotmod,./profiles/UGC06917_rotmod_components_profile.csv,1.0,7.666253523150361e-11,1.0,17.703623867543296,11
UGC06923_rotmod,./profiles/UGC06923_rotmod_components_profile.csv,1.0,8.581704091819743e-11,1.0,17.91460283426446,6
UGC06930_rotmod,./profiles/UGC06930_rotmod_components_profile.csv,1.0,7.501797982250047e-11,1.0,22.41998218973051,10
UGC06973_rotmod,./profiles/UGC06973_rotmod_components_profile.csv,1.0,2.248644232803449e-11,-0.036760348256684436,14.407513652073407,9
UGC06983_rotmod,./profiles/UGC06983_rotmod_components_profile.csv,1.0,8.257224814701941e-11,1.0,19.7735234445281,17
UGC07089_rotmod,./profiles/UGC07089_rotmod_components_profile.csv,1.0,1.2226046622329603e-10,1.0,15.059196773266205,12
UGC07125_rotmod,./profiles/UGC07125_rotmod_components_profile.csv,1.0,1.176474726719292e-10,1.0,16.530076994618778,13
UGC07151_rotmod,./profiles/UGC07151_rotmod_components_profile.csv,1.0,1.1327661481477887e-10,1.0,14.44823410540517,11
UGC07232_rotmod,./profiles/UGC07232_rotmod_components_profile.csv,1.0,2.244269279868843e-10,1.0,7.171793030366719,4
UGC07261_rotmod,./profiles/UGC07261_rotmod_components_profile.csv,1.0,1.165650059043196e-10,1.0,12.153827699086493,7
UGC07323_rotmod,./profiles/UGC07323_rotmod_components_profile.csv,1.0,1.165292997051971e-10,1.0,13.620318661589444,10
