galaxy,V_flat_kms,M_total_Msun,Mgas_Msun,Mdisk_Msun,Mbul_Msun,bulge_to_total,disk_vs_gas_ratio
NGC2955_rotmod,238.69441138713356,377585259137.73694,49898902266.01871,256501246816.95944,71185110054.75868,0.18852724869958845,5.140418629843036
NGC3972_rotmod,103.24189585016279,19146510850.67673,1833196922.586784,17313313928.089943,0.0,0.0,9.444328492358315
ESO079-G014_rotmod,134.15988035004074,66169726422.2711,6354142229.668014,59815584192.603065,0.0,0.0,9.41363633840602
NGC3893_rotmod,144.8378785900426,71812660906.9903,8774774145.768925,63037886761.22137,0.0,0.0,7.183989663325678
NGC0289_rotmod,90.29780030491983,119642551449.43475,46869856078.54615,72772695370.88861,0.0,0.0,1.552654551550864
UGC00731_rotmod,36.78549015511953,3659467978.118591,3241922445.252739,417545532.8658524,0.0,0.0,0.12879565748936375
UGC07866_rotmod,20.207547017946165,255115256.3519464,110920563.17269184,144194693.1792546,0.0,0.0,1.2999816179688737
UGC05918_rotmod,20.929611652668235,551867545.3353218,254298707.32769763,297568838.00762403,0.0,0.0,1.1701547409919275
UGC07151_rotmod,53.33751845414351,3950794887.604057,1024144740.2769556,2926650147.327102,0.0,0.0,2.8576528611919243
UGC05253_rotmod,137.89980220691362,208803558630.7003,28332874778.06334,114805637184.80742,65665046667.82954,0.31448241159513857,4.052029244617825
D631-7_rotmod,21.34430711484842,658689865.5335963,453463010.6734288,205226854.8601676,0.0,0.0,0.45257683654371134
NGC4010_rotmod,101.5320177560453,22583795381.408745,2769524060.2938623,19814271321.11488,0.0,0.0,7.154395805831155
NGC0024_rotmod,55.47669195385326,5306282362.309149,1103327409.5023732,4202954952.806777,0.0,0.0,3.8093451831332725
NGC1003_rotmod,45.73967091433955,16762038084.218275,9860778631.970226,6901259452.248049,0.0,0.0,0.699869625900845
NGC0055_rotmod,57.50587851280187,10777382763.045452,3545655786.2220693,7231726976.823381,0.0,0.0,2.039602097001316
NGC3198_rotmod,80.43010931548665,62382839168.32526,23455770635.305206,38927068533.02002,0.0,0.0,1.659594525298934
UGC07524_rotmod,50.94296663574073,6618272448.663064,2968594997.0780907,3649677451.584974,0.0,0.0,1.229429226680384
NGC6195_rotmod,253.80482264454525,433300610054.4114,36794895421.02106,291675858704.5951,104829855928.79524,0.24193332180084243,7.9270739967359605
UGC07608_rotmod,24.82843067304448,940388247.40028,646559179.4459565,293829067.9543236,0.0,0.0,0.4544503848914633
F571-V1_rotmod,41.14989365532739,4853091370.032733,2620777856.4007936,2232313513.6319413,0.0,0.0,0.851775173611111
UGC05005_rotmod,48.03591986377263,14562488066.825851,10127871122.7155,4434616944.110353,0.0,0.0,0.4378626949709188
NGC5985_rotmod,200.27489796650394,290982692959.89844,18267192177.24039,262536460349.0401,10179040433.617985,0.034981600898926324,14.372020494542214
UGC08490_rotmod,31.427287916765966,2235406114.801276,1194694479.4068573,1040711635.394418,0.0,0.0,0.8711111111111112
UGC06614_rotmod,129.66567148744042,183147697631.9376,56411845218.55828,59925658733.00004,66810193680.37932,0.3647886080153969,1.06228857611071
UGCA281_rotmod,19.106273189300047,94855072.44231944,25160408.550361127,69694663.89195833,0.0,0.0,2.7700132035796377
UGC05716_rotmod,32.930757469454605,2840578900.336436,2227521428.955374,613057471.3810616,0.0,0.0,0.27521956171194417
