galaxy,Npoints,data_quality_flag,has_bulge,bulge_size_kpc,gas_negative_flag,R_max_kpc,Mtot_Msun,Mgas_Msun,Mdisk_Msun,Mbul_Msun,bulge_to_total_at_Rmax,disk_vs_gas_ratio,Phi_N_Rmax,shear_mean,v_flat_kms
NGC2903_rotmod,34,ok,False,0.0,False,24.96,88495454799.06099,5526653067.495275,82968801731.56572,0.0,0.0,62.953338944146616,1.6967161759704817e-07,0.1693369943825649,179.6
NGC2915_rotmod,30,ok,False,0.0,False,10.04,1574649876.0521543,924412147.9205871,650237728.131567,0.0,0.0,3.557485220151305,7.505560089768709e-09,0.40146240857467563,84.91999999999999
NGC2955_rotmod,24,ok,True,0.75,False,35.43,377585259137.73694,49898902266.01871,256501246816.95944,71185110054.75868,0.18852724869958845,21.96868323138979,5.100076548590605e-07,0.07106108112023483,250.6
NGC2976_rotmod,27,ok,False,0.0,False,2.27,3333880329.3951135,470262454.73151386,2863617874.6635995,0.0,0.0,10.754516470549838,7.028408013045513e-08,0.8687640067385632,84.28
NGC2998_rotmod,13,ok,False,0.0,False,42.28,207154429431.01547,40794554804.38817,166359874626.62723,0.0,0.0,15.431758464259374,2.3447257939162223e-07,0.15424916735288616,211.2
NGC3109_rotmod,25,ok,False,0.0,False,6.45,803822966.8936889,564984539.5649544,238838427.32873434,0.0,0.0,0.7397459173758467,5.9639433817044025e-09,0.742862239726854,66.16
NGC3198_rotmod,43,review,False,0.0,True,44.08,62382839168.32526,23455770635.305206,38927068533.02002,0.0,0.0,13.689162122580417,6.772614660819034e-08,0.28868458955409937,149.2
NGC3521_rotmod,41,review,False,0.0,True,17.74,96945031704.27249,7355658476.569262,89589373227.70326,0.0,0.0,157.63470542416306,2.6151990949342545e-07,0.07108127210710086,207.6
NGC3726_rotmod,12,ok,False,0.0,False,32.52,86406534052.06908,11506101900.972101,74900432151.09695,0.0,0.0,17.290352529089013,1.2715365953230812e-07,0.1691940623162786,161.6
NGC3741_rotmod,21,ok,False,0.0,False,7.0,317519500.58581764,289624620.3825082,27894880.203309357,0.0,0.0,0.5753523644875783,2.1707268521579197e-09,0.40112485595263625,50.08
NGC3769_rotmod,12,ok,False,0.0,False,37.16,27493668664.845554,8610941672.641441,18882726992.204113,0.0,0.0,8.573816691560115,3.5407054949853606e-08,0.06374733080824432,117.8
NGC3877_rotmod,13,ok,False,0.0,False,11.35,97433019710.98302,2419543204.9937162,95013476505.98932,0.0,0.0,61.5219348133537,4.108119961199338e-07,0.5206862138521136,170.0
